id;start_date;end_date;language
1;2021-02-07T06:19:33;2021-02-07T04:09:48;SPANISH
2;2021-02-06T11:09:44;2021-02-07T06:14:09;SPANISH
3;2021-02-07T02:05:03;2021-02-06T12:39:12;FRENCH
4;2021-02-06T17:22:34;2021-02-07T04:54:00;FRENCH
5;2021-02-07T02:52:52;2021-02-07T07:39:51;FRENCH
6;2021-02-06T20:45:13;2021-02-07T08:53:27;FRENCH
7;2021-02-06T22:30:33;2021-02-06T16:21:24;FRENCH
8;2021-02-06T21:26:46;2021-02-07T07:42:54;SPANISH
9;2021-02-06T20:07:55;2021-02-06T16:49:18;SPANISH
10;2021-02-07T04:19:59;2021-02-06T14:54:29;SPANISH
